;Client_ID;Age;Region;Secteur_Activite;Revenu_Mensuel;Montant_Credit;Duree_Mois;Taux_Interet;Nb_Credits_Anterieurs;Garantie;Retard_Paiement_Jours;Statut_Credit
0;CLI0001;60;Thiès;Agriculture;395000;5000000;60;15,89;4;Immobilière;2;Douteux
1;CLI0002;50;Dakar;Agriculture;489000;500000;36;16,92;2;;4;Douteux
2;CLI0003;36;Ziguinchor;BTP;495000;500000;12;12,34;1;Immobilière;30;Bon
3;CLI0004;64;Kaolack;Services;734000;500000;36;17,1;2;Mobilière;39;Douteux
4;CLI0005;29;Dakar;Agriculture;433000;1000000;12;11,77;4;Mobilière;8;Bon
5;CLI0006;;Ziguinchor;Industrie;12000000;1000000;48;17,64;1;Mobilière;1;Bon
6;CLI0007;60;Dakar;Agriculture;559000;1000000;36;8,89;2;Mobilière;1;Bon
7;CLI0008;40;Saint-Louis;Commerce;484000;10000000;48;14,87;5;Immobilière;13;Bon
8;CLI0009;44;Dakar;Commerce;370000;5000000;48;12,94;1;Immobilière;7;Bon
9;CLI0010;32;Dakar;Services;485000;5000000;24;11,88;0;Mobilière;0;Contentieux
10;CLI0011;32;Dakar;BTP;643000;2000000;12;14,33;2;Mobilière;13;Bon
11;CLI0012;45;Kaolack;Services;265000;1000000;60;15,04;1;Immobilière;0;Douteux
12;CLI0013;57;Dakar;Services;474000;10000000;12;8,04;5;Caution;23;Bon
13;CLI0014;61;Ziguinchor;Services;324000;10000000;60;9,67;1;Mobilière;5;Bon
14;CLI0015;45;Saint-Louis;Services;665000;5000000;12;15,13;1;Mobilière;1;Bon
15;CLI0016;24;Saint-Louis;Industrie;176000;1000000;48;14,66;5;Caution;13;Contentieux
16;CLI0017;43;Dakar;Industrie;349000;2000000;36;17,66;2;Immobilière;8;Douteux
17;CLI0018;23;Kaolack;Agriculture;518000;1000000;36;15,61;3;Immobilière;55;Contentieux
18;CLI0019;45;Kaolack;Commerce;732000;500000;24;17,51;2;Caution;12;Contentieux
19;CLI0020;51;Ziguinchor;Services;438000;1000000;60;15,03;4;Mobilière;5;Bon
20;CLI0021;59;Dakar;Agriculture;350000;500000;60;10,98;5;Mobilière;19;Bon
21;CLI0022;23;Saint-Louis;Commerce;789000;500000;60;9,05;2;Caution;5;Douteux
22;CLI0023;42;Kaolack;BTP;189000;2000000;48;15,82;1;Caution;35;Bon
23;CLI0024;54;Dakar;Industrie;54000;5000000;60;14,44;5;;7;Bon
24;CLI0025;33;Kaolack;Commerce;529000;1000000;36;8,48;0;Mobilière;12;Bon
25;CLI0026;43;Kaolack;BTP;360000;500000;48;11,6;2;Mobilière;1;Bon
26;CLI0027;46;Saint-Louis;Commerce;266000;1000000;12;17,57;5;Mobilière;8;Bon
27;CLI0028;48;Thiès;Industrie;578000;5000000;60;13;2;Immobilière;27;Bon
28;CLI0029;63;Ziguinchor;Industrie;494000;5000000;60;12,33;5;Mobilière;25;Bon
29;CLI0030;49;Ziguinchor;Agriculture;348000;10000000;12;12,58;1;Immobilière;4;Bon
30;CLI0031;37;Saint-Louis;Services;220000;5000000;60;10,09;0;;4;Bon
31;CLI0032;36;Kaolack;Commerce;;2000000;12;11,69;0;Mobilière;25;Bon
32;CLI0033;24;Dakar;Commerce;567000;500000;48;11,7;4;Mobilière;40;Douteux
33;CLI0034;58;Kaolack;BTP;432000;10000000;36;8,52;5;Immobilière;2;Bon
34;CLI0035;28;Saint-Louis;Industrie;782000;2000000;12;15,68;2;Immobilière;9;Bon
35;CLI0036;42;Ziguinchor;Commerce;257000;1000000;24;12,17;0;Immobilière;6;Douteux
36;CLI0037;;Kaolack;Industrie;175000;500000;12;16,22;0;Mobilière;31;Bon
37;CLI0038;60;Ziguinchor;Commerce;325000;5000000;60;16,5;3;Immobilière;1;Bon
38;CLI0039;39;Dakar;Agriculture;442000;500000;48;10,12;3;Mobilière;4;Douteux
39;CLI0040;25;Ziguinchor;Services;494000;1000000;48;14,57;0;Caution;21;Bon
40;CLI0041;46;Ziguinchor;Commerce;407000;10000000;12;12,72;5;Caution;1;Douteux
41;CLI0042;35;Thiès;Industrie;513000;10000000;36;16,8;4;Mobilière;10;Douteux
42;CLI0043;30;Thiès;Agriculture;225000;95000000;24;10,16;0;Immobilière;9;Bon
43;CLI0044;47;Thiès;Commerce;710000;5000000;48;14,78;1;Caution;6;Bon
44;CLI0045;23;Ziguinchor;BTP;435000;2000000;60;14,08;2;Caution;8;Bon
45;CLI0046;41;Saint-Louis;Services;651000;2000000;60;10,95;4;Immobilière;11;Bon
46;CLI0047;49;Ziguinchor;Commerce;512000;500000;36;9,37;1;Caution;3;Bon
47;CLI0048;28;Saint-Louis;Agriculture;532000;5000000;48;14,52;4;Immobilière;13;Bon
48;CLI0049;29;Saint-Louis;BTP;553000;10000000;12;15,39;1;Caution;25;Bon
49;CLI0050;56;Thiès;Agriculture;531000;10000000;60;11,16;2;;21;Bon
50;CLI0051;35;Kaolack;Agriculture;566000;1000000;36;14,45;2;Immobilière;3;Bon
51;CLI0052;38;Dakar;BTP;689000;1000000;48;11,95;3;Caution;2;Bon
52;CLI0053;57;Thiès;Agriculture;485000;10000000;48;15,13;5;Mobilière;5;Bon
53;CLI0054;61;Thiès;BTP;578000;10000000;48;9,99;1;;7;Douteux
54;CLI0055;25;Kaolack;Commerce;434000;5000000;48;16,9;3;Mobilière;8;Bon
55;CLI0056;23;Dakar;BTP;709000;2000000;48;10,87;1;Caution;17;Bon
56;CLI0057;27;Ziguinchor;BTP;328000;1000000;60;11,68;3;Immobilière;1;Contentieux
57;CLI0058;63;Ziguinchor;Services;774000;2000000;36;8,58;2;Immobilière;1;Bon
58;CLI0059;25;Thiès;BTP;443000;5000000;48;9,12;4;Immobilière;7;Bon
59;CLI0060;50;Dakar;BTP;192000;10000000;24;;3;;18;Bon
60;CLI0061;39;Thiès;Commerce;473000;2000000;24;10,68;1;Caution;3;Bon
61;CLI0062;47;Saint-Louis;Services;327000;10000000;36;16,35;1;Caution;15;Bon
62;CLI0063;55;Thiès;Industrie;601000;10000000;12;8,15;5;;5;Bon
63;CLI0064;31;Thiès;Commerce;333000;500000;12;11,79;2;Immobilière;33;Bon
64;CLI0065;57;Ziguinchor;Commerce;370000;2000000;12;11,37;1;Immobilière;34;Douteux
65;CLI0066;35;Ziguinchor;Industrie;110000;2000000;24;8,19;0;Immobilière;5;Bon
66;CLI0067;52;Ziguinchor;BTP;369000;10000000;12;9,24;4;Immobilière;4;Bon
67;CLI0068;36;Saint-Louis;Agriculture;14000;5000000;60;12,14;3;Immobilière;8;Douteux
68;CLI0069;29;Ziguinchor;Services;165000;500000;48;12,93;5;Mobilière;4;Bon
69;CLI0070;35;Dakar;Agriculture;587000;10000000;24;12,04;4;Immobilière;17;Douteux
70;CLI0071;44;Kaolack;Industrie;591000;1000000;36;13,31;2;Immobilière;26;Bon
71;CLI0072;61;Dakar;Commerce;527000;1000000;36;13,95;5;Immobilière;17;Douteux
72;CLI0073;42;Dakar;Commerce;276000;500000;48;8,1;3;Immobilière;26;Bon
73;CLI0074;37;Ziguinchor;Services;441000;5000000;24;12,64;3;;8;Douteux
74;CLI0075;39;Kaolack;Commerce;449000;10000000;12;17,63;0;Caution;3;Contentieux
75;CLI0076;45;Kaolack;Commerce;241000;2000000;12;;2;;20;Bon
76;CLI0077;47;Kaolack;Services;721000;500000;60;14,78;5;Mobilière;7;Bon
77;CLI0078;46;Saint-Louis;Services;608000;5000000;60;11,12;5;Immobilière;17;Bon
78;CLI0079;62;Ziguinchor;Industrie;410000;2000000;12;15,74;1;Caution;5;Bon
79;CLI0080;50;Kaolack;Commerce;455000;1000000;36;15,73;0;Immobilière;1;Bon
80;CLI0081;36;Saint-Louis;Commerce;488000;1000000;36;13,21;0;Immobilière;74;Bon
81;CLI0082;22;Thiès;Industrie;82000;2000000;60;17,76;5;Immobilière;3;Bon
82;CLI0083;46;Thiès;BTP;;500000;48;9,26;5;Immobilière;67;Bon
83;CLI0084;28;Saint-Louis;BTP;327000;1000000;12;8,17;4;Immobilière;57;Bon
84;CLI0085;30;Saint-Louis;BTP;270000;10000000;60;15,7;4;Immobilière;24;Bon
85;CLI0086;45;Ziguinchor;Industrie;399000;2000000;60;16,07;4;Mobilière;16;Bon
86;CLI0087;22;Ziguinchor;Commerce;774000;2000000;12;9,2;0;Immobilière;13;Bon
87;CLI0088;29;Thiès;Industrie;565000;1000000;12;10,66;1;Immobilière;980;Bon
88;CLI0089;45;Kaolack;Industrie;347000;500000;36;8,18;3;Caution;5;Bon
89;CLI0090;32;Thiès;BTP;;10000000;48;10,93;4;Immobilière;9;Bon
90;CLI0091;38;Kaolack;Agriculture;702000;500000;48;15,73;1;Immobilière;14;Bon
91;CLI0092;;Kaolack;Commerce;616000;5000000;12;13,18;2;Caution;8;Bon
92;CLI0093;56;Ziguinchor;BTP;461000;5000000;24;11,48;4;Immobilière;8;Douteux
93;CLI0094;56;Dakar;Agriculture;334000;1000000;60;11,72;3;Immobilière;6;Bon
94;CLI0095;54;Dakar;Agriculture;576000;1000000;60;8,01;2;Mobilière;12;Bon
95;CLI0096;26;Saint-Louis;Services;521000;1000000;12;11;2;Immobilière;29;Douteux
96;CLI0097;63;Ziguinchor;Commerce;611000;5000000;24;14,46;3;Mobilière;3;Douteux
97;CLI0098;60;Kaolack;Agriculture;564000;500000;36;17,74;4;Caution;41;Contentieux
98;CLI0099;62;Dakar;BTP;639000;500000;12;16,47;0;Immobilière;18;Bon
99;CLI0100;49;Kaolack;Services;354000;1000000;12;8,24;3;Mobilière;26;Bon
100;CLI0101;28;Dakar;Commerce;687000;10000000;60;16,99;3;Mobilière;12;Douteux
101;CLI0102;30;Dakar;Industrie;486000;500000;12;15,83;3;Immobilière;23;Bon
102;CLI0103;29;Dakar;BTP;824000;5000000;12;15,8;2;Mobilière;0;Bon
